id,nome,turma,faltas,status
1,Aluno 1,3A,1,OK
2,Aluno 2,3A,2,OK
3,Aluno 3,3A,3,Alerta
4,Aluno 4,3A,4,Alerta
5,Aluno 5,3A,0,OK
6,Aluno 6,3A,1,OK
7,Aluno 7,3A,2,OK
8,Aluno 8,3A,3,Alerta
9,Aluno 9,3A,4,Alerta
10,Aluno 10,3A,0,OK
11,Aluno 11,3A,1,OK
12,Aluno 12,3A,2,OK
13,Aluno 13,3A,3,Alerta
14,Aluno 14,3A,4,Alerta
15,Aluno 15,3A,0,OK
16,Aluno 16,3A,1,OK
17,Aluno 17,3A,2,OK
18,Aluno 18,3A,3,Alerta
19,Aluno 19,3A,4,Alerta
20,Aluno 20,3A,0,OK
21,Aluno 21,3A,1,OK
22,Aluno 22,3A,2,OK
23,Aluno 23,3A,3,Alerta
24,Aluno 24,3A,4,Alerta
25,Aluno 25,3A,0,OK
26,Aluno 26,3A,1,OK
27,Aluno 27,3A,2,OK
28,Aluno 28,3A,3,Alerta
29,Aluno 29,3A,4,Alerta
30,Aluno 30,3A,0,OK
